s2parent,s2token_15,date,hour,Type,SubType,N_Alerts,Road_Type,Reliability
2e68c263,2e68c2624,2020-09-29,17,{'JAM'},{'JAM_STAND_STILL_TRAFFIC'},32,{2},5.90625
2e68c263,2e68c2624,2020-10-08,16,{'JAM'},{'JAM_HEAVY_TRAFFIC'},18,{2},5.0
2e68c263,2e68c2624,2020-10-20,16,{'JAM'},{'JAM_HEAVY_TRAFFIC'},31,{2},5.0
2e68c263,2e68c2624,2020-11-09,17,{'JAM'},{'JAM_HEAVY_TRAFFIC'},31,{2},5.0
2e68c263,2e68c2624,2020-11-13,17,{'JAM'},{'JAM_HEAVY_TRAFFIC'},42,{2},5.380952380952381
2e68c263,2e68c262c,2020-10-27,15,{'WEATHERHAZARD'},{'HAZARD_WEATHER_HAIL'},33,{4},5.0
2e68c281,2e68c2814,2020-09-03,7,{'JAM'},{'JAM'},30,{2},5.0
2e68c281,2e68c2814,2020-09-05,18,{'JAM'},"{'JAM_MODERATE_TRAFFIC', 'JAM_HEAVY_TRAFFIC'}",117,{2},5.239316239316239
2e68c283,2e68c2824,2020-09-12,16,{'JAM'},{'JAM_STAND_STILL_TRAFFIC'},31,{2},5.0
2e68c285,2e68c284c,2020-09-11,19,{'JAM'},{'JAM'},8,{2},5.0
2e68c287,2e68c2874,2020-11-02,22,{'JAM'},{'JAM'},31,{1},5.0
2e68c28b,2e68c28a4,2020-09-29,17,{'JAM'},{'JAM_HEAVY_TRAFFIC'},31,{2},5.0
2e68c28b,2e68c28b4,2020-10-30,12,{'JAM'},{'JAM'},32,{1},5.0
2e68c28b,2e68c28bc,2020-10-17,13,{'JAM'},{'JAM_HEAVY_TRAFFIC'},32,{2},5.0
2e68c28b,2e68c28bc,2020-10-30,17,{'JAM'},{'JAM_STAND_STILL_TRAFFIC'},5,{2},5.0
2e68c28f,2e68c28fc,2020-09-01,14,{'JAM'},{'JAM_HEAVY_TRAFFIC'},32,{1},5.0
2e68c291,2e68c2914,2020-10-22,0,{'JAM'},{'JAM'},32,{1},5.0
2e68c291,2e68c291c,2020-10-20,17,{'JAM'},{'JAM'},6,{2},5.0
2e68c295,2e68c295c,2020-10-02,11,{'JAM'},{'JAM_HEAVY_TRAFFIC'},30,{2},5.0
2e68c295,2e68c295c,2020-11-07,14,{'JAM'},{'JAM_STAND_STILL_TRAFFIC'},27,{2},5.0
2e68c29b,2e68c29a4,2020-10-30,22,{'JAM'},{'JAM_HEAVY_TRAFFIC'},32,{1},5.0
2e68c29b,2e68c29ac,2020-11-04,20,{'WEATHERHAZARD'},{'WEATHERHAZARD'},30,{1},5.0
2e68c29d,2e68c29d4,2020-10-03,21,{'JAM'},{'JAM'},31,{1},5.0
2e68c29f,2e68c29e4,2020-09-06,19,{'JAM'},{'JAM_MODERATE_TRAFFIC'},33,{1},5.0
2e68c2a5,2e68c2a44,2020-10-21,18,{'JAM'},{'JAM'},6,{2},5.0
2e68c2a5,2e68c2a5c,2020-09-28,17,{'JAM'},{'JAM_HEAVY_TRAFFIC'},30,{6},7.0
2e68c2a5,2e68c2a5c,2020-10-24,17,{'JAM'},{'JAM_HEAVY_TRAFFIC'},11,{2},5.0
2e68c2a5,2e68c2a5c,2020-10-27,17,{'JAM'},{'JAM_MODERATE_TRAFFIC'},34,{6},5.0
2e68c2a5,2e68c2a5c,2020-11-02,17,{'JAM'},{'JAM_HEAVY_TRAFFIC'},31,{7},5.967741935483871
2e68c2a7,2e68c2a64,2020-09-01,17,{'JAM'},{'JAM_STAND_STILL_TRAFFIC'},34,{6},5.0
2e68c2a7,2e68c2a64,2020-09-05,13,{'JAM'},{'JAM_HEAVY_TRAFFIC'},28,{6},5.0
2e68c2a7,2e68c2a64,2020-09-07,16,{'JAM'},{'JAM_STAND_STILL_TRAFFIC'},30,{6},5.0
2e68c2a7,2e68c2a64,2020-09-15,17,{'JAM'},{'JAM_STAND_STILL_TRAFFIC'},30,{6},5.966666666666667
2e68c2a7,2e68c2a64,2020-09-23,13,{'JAM'},{'JAM_STAND_STILL_TRAFFIC'},33,{6},5.0
2e68c2a7,2e68c2a64,2020-09-28,17,{'JAM'},{'JAM_STAND_STILL_TRAFFIC'},32,{6},5.0
2e68c2a7,2e68c2a64,2020-10-01,17,{'JAM'},{'JAM_STAND_STILL_TRAFFIC'},31,{6},5.0
2e68c2a7,2e68c2a64,2020-10-05,16,{'JAM'},"{'JAM_STAND_STILL_TRAFFIC', 'JAM_HEAVY_TRAFFIC'}",60,{6},5.0
2e68c2a7,2e68c2a64,2020-10-07,7,{'JAM'},{'JAM_MODERATE_TRAFFIC'},33,{6},5.0
2e68c2a7,2e68c2a64,2020-10-09,14,{'JAM'},{'JAM_STAND_STILL_TRAFFIC'},31,{6},5.0
2e68c2a7,2e68c2a64,2020-10-10,16,{'JAM'},{'JAM_HEAVY_TRAFFIC'},32,{22},5.0
2e68c2a7,2e68c2a64,2020-10-11,17,{'WEATHERHAZARD'},{'HAZARD_ON_ROAD_OBJECT'},60,{7},5.0
2e68c2a7,2e68c2a64,2020-10-16,17,{'JAM'},{'JAM_STAND_STILL_TRAFFIC'},30,{6},5.966666666666667
2e68c2a7,2e68c2a64,2020-10-19,16,{'JAM'},{'JAM_STAND_STILL_TRAFFIC'},60,{6},7.016666666666667
2e68c2a7,2e68c2a64,2020-10-20,16,{'JAM'},{'JAM_STAND_STILL_TRAFFIC'},35,{6},5.0
2e68c2a7,2e68c2a64,2020-10-20,18,{'JAM'},{'JAM_STAND_STILL_TRAFFIC'},31,{6},5.0
2e68c2a7,2e68c2a64,2020-10-30,17,{'JAM'},{'JAM_STAND_STILL_TRAFFIC'},30,{6},5.0
2e68c2a7,2e68c2a64,2020-11-02,17,{'JAM'},{'JAM_STAND_STILL_TRAFFIC'},30,{6},5.0
2e68c2a7,2e68c2a64,2020-11-13,16,{'JAM'},{'JAM_STAND_STILL_TRAFFIC'},30,{6},5.0
2e68c2a7,2e68c2a6c,2020-09-19,17,{'JAM'},{'JAM'},34,{1},5.0
2e68c2a7,2e68c2a7c,2020-09-09,17,{'JAM'},{'JAM_HEAVY_TRAFFIC'},29,{6},5.0
2e68c2a7,2e68c2a7c,2020-09-22,19,{'JAM'},{'JAM_STAND_STILL_TRAFFIC'},30,{6},5.766666666666667
2e68c2a7,2e68c2a7c,2020-09-28,6,{'JAM'},{'JAM_HEAVY_TRAFFIC'},30,{6},5.0
2e68c2a7,2e68c2a7c,2020-09-28,7,"{'JAM', 'WEATHERHAZARD'}","{'HAZARD_ON_ROAD_CAR_STOPPED', 'JAM_HEAVY_TRAFFIC'}",61,{6},5.295081967213115
2e68c2a7,2e68c2a7c,2020-09-28,8,{'WEATHERHAZARD'},{'HAZARD_ON_ROAD_CAR_STOPPED'},36,{6},5.916666666666667
2e68c2a7,2e68c2a7c,2020-10-05,18,{'JAM'},{'JAM_MODERATE_TRAFFIC'},40,{6},5.425
2e68c2a7,2e68c2a7c,2020-10-07,11,{'WEATHERHAZARD'},{'HAZARD_ON_ROAD_CAR_STOPPED'},30,{7},5.9
