,s2token_15,x,y,z,day,month,hour_y,street_y,road_type,jam_level,speed_decrease_%,Freq
0,2e6992a84,0.9940309380602825,0.10820679593931495,-0.013920613906805792,25,11,18,Hankam Raya,2.0,4.0,59.38356164383561,280.0
1,2e68e62f4,0.5611432594404973,0.5743449511166226,-0.5960252675108154,29,11,20,Asia Afrika,7.0,3.0,42.99674267100978,105.0
2,2e68e81a4,0.5257939661487033,0.5917841368081462,-0.6110091984445516,27,11,10,N11 Soekarno-Hatta,6.0,3.0,14.737793851717909,32.0
3,2e69eec04,0.996602392765738,-0.021315036131618722,-0.07955714907105245,24,11,7,,,,,
4,2e698e4a4,0.9723435943579148,0.2331763420267302,0.013293909513909763,27,11,8,,,,,
5,2e68ef55c,0.5803900604396163,0.5467887688726825,-0.6034645142654161,26,11,19,,,,,
6,2e68ef54c,0.5776890249005483,0.5474795642023461,-0.6054267233037064,27,11,7,Holis,2.0,3.0,52.44791666666666,44.0
7,2e698d1ac,0.9910954284198114,0.1316301941532543,0.020083419841430156,26,11,18,Caman Raya,2.0,4.0,44.984802431610944,177.0
8,2e698d434,0.9931298420264705,0.11701453107985997,-0.0008463998098948779,28,11,13,,,,,
9,2e6992864,0.989882478434864,0.14039940083034938,-0.020510659036943837,29,11,11,Wibawa Mukti 2,2.0,3.0,18.897108271687955,10.0
10,2e69c5a44,0.9489976767920435,-0.03430347565414766,-0.3134113606769058,26,11,23,,,,,
11,2e69c41d4,0.9627546079988374,0.002130184245338684,-0.27036831747097484,26,11,12,N8 Jalan Raya Bogor,6.0,4.0,46.00682593856655,206.0
12,2e6999e1c,0.953380951096591,0.2829646416807228,-0.10486073452279275,29,11,16,Cibarusah Raya,7.0,3.0,58.09184128399465,70.0
13,2e699abbc,0.954165365240936,0.29859800705952844,-0.020191234600912277,28,11,17,,,,,
14,2e69e8f44,0.9886319641210094,-0.062042052350688694,-0.1369584727512309,27,11,21,,,,,
15,2e699a1a4,0.9513852397208622,0.2977279902155826,-0.07889340583006521,26,11,20,Cibarusah Raya,7.0,3.0,52.30969420949903,37.0
16,2e699bd34,0.9411018161903519,0.3284394481347852,-0.08034239523526147,23,11,17,,,,,
17,2e698bfb4,0.9797168314094347,0.18351888708900435,0.08047203448820221,27,11,18,,,,,
18,2e698cf94,0.9894597628319398,0.14033944521070243,0.03569618823507318,27,11,19,Arah Bintara/Cilincing/Tanjung Priok/Bogor,2.0,3.0,35.85118376550168,82.0
19,2e698c014,0.9800932465400392,0.1865859675315694,0.06784471097229423,25,11,10,KH Muchtar Tabrani,2.0,3.0,33.42637822749477,136.0
20,2e68e8c14,0.5575795437511779,0.550785887893428,-0.6210796712883755,24,11,15,Cibaduyut Raya,2.0,4.0,53.84615384615385,68.0
21,2e68e794c,0.5453175484176906,0.6028905761379975,-0.5823673450595535,28,11,7,Jenderal Ahmad Yani,1.0,3.0,65.57085739671258,456.0
22,2e6992a9c,0.9943445824805391,0.10527266180384941,-0.014018486663492223,26,11,17,,,,,
23,2e69e97d4,0.9915477756881909,0.002193891810771941,-0.12972353435874184,28,11,6,,,,,
24,2e698541c,0.9533917565542687,0.30145050771158977,0.0131053399342002,27,11,15,,,,,
25,2e69ec434,0.9966634839719941,0.037504957575973885,-0.07249329537295852,26,11,8,,,,,
26,2e699298c,0.9922515701497797,0.12285344027969981,-0.018543293848159094,28,11,23,,,,,
27,2e68e6844,0.5946070238975691,0.5736169590390319,-0.5633880291899085,25,11,12,,,,,
